Date, Open, High, Low, Close, Volume
02/11/21, 164.60, 164.60, 162.403, 163.1065, 46028339.3556033
02/10/21, 165.70, 165.8978, 162.70, 164.329, 63030999.117566
02/09/21, 165.6245, 166.90, 164.892, 165.25, 44070519.3830127
02/08/21, 167.925, 168.25, 165.20, 166.147, 65147819.0879305
02/05/21, 165.95, 168.85, 165.1355, 167.6075, 72416158.9861738
02/04/21, 166.50, 167.35, 163.8875, 166.55, 73413218.9722149
02/03/21, 171.2505, 171.70, 165.431, 165.6265, 141775618.015141
02/02/21, 169.00, 171.387, 168.0563, 169.00, 141972738.012382
02/01/21, 162.118, 167.513, 161.7513, 167.144, 83204238.8351407
01/29/21, 161.50, 161.8495, 159.2275, 160.31, 85871118.7978044
01/28/21, 161.752, 165.084, 161.4345, 161.881, 62984559.1182162
01/27/21, 167.0745, 167.326, 160.354, 161.629, 93203158.6951558
01/26/21, 164.8178, 166.90, 164.1435, 166.3065, 59104699.1725342
01/25/21, 166.425, 168.1945, 162.1573, 164.70, 74995158.9500678
01/22/21, 165.2155, 166.0955, 164.1582, 164.6115, 56438279.2098641
01/21/21, 164.65, 167.4275, 164.4784, 165.3495, 98901018.6153857
01/20/21, 159.0995, 163.99, 158.75, 163.169, 106196698.513246
01/19/21, 155.35, 157.25, 154.80, 156.038, 66102839.0745602
01/15/21, 156.151, 157.1273, 154.7585, 155.2125, 84879898.8116814
01/14/21, 158.376, 158.90, 156.0295, 156.3735, 61418379.1401427
01/13/21, 156.422, 159.4975, 156.104, 158.2945, 66424879.0700517
01/12/21, 156.00, 157.1071, 154.30, 156.0415, 70291639.0159171
01/11/21, 157.4005, 157.8192, 155.50, 155.7105, 73381898.9726534
01/08/21, 159.00, 159.532, 157.11, 159.135, 70754879.0094317
01/07/21, 157.85, 160.4271, 157.75, 158.108, 70290899.0159274
01/06/21, 157.324, 159.8755, 156.558, 156.919, 87896298.7694518
01/05/21, 158.3005, 161.169, 158.253, 160.9255, 53110959.2564466
01/04/21, 163.50, 163.60, 157.201, 159.3315, 88228978.7647943
12/31/20, 163.75, 164.1461, 162.06, 162.8465, 59144119.1719823
12/30/20, 167.05, 167.105, 164.1235, 164.2925, 64186199.1013932
12/29/20, 165.497, 167.5325, 164.0612, 166.10, 97458658.6355788
12/28/20, 159.70, 165.20, 158.6345, 164.198, 113735738.4077
12/24/20, 159.695, 160.10, 158.45, 158.6345, 29038339.5934632
12/23/20, 160.25, 160.5065, 159.2085, 159.2635, 41875739.4137396
12/22/20, 160.1422, 161.10, 159.004, 160.326, 47635619.3331013
12/21/20, 160.0005, 161.3484, 158.30, 160.309, 76736918.9256831
12/18/20, 162.1995, 162.471, 158.58, 160.0825, 119914258.3212
12/17/20, 162.50, 163.1755, 161.05, 161.804, 69486939.0271829
12/16/20, 158.8005, 162.35, 158.184, 162.048, 88552318.7602676
12/15/20, 159.0505, 159.425, 156.5245, 158.256, 66473719.0693679
12/14/20, 157.15, 159.5235, 156.30, 157.8485, 83115878.8363777
12/11/20, 154.833, 155.9335, 153.641, 155.821, 61293899.1418854
12/10/20, 154.4495, 157.105, 153.80, 155.0745, 60603719.1515479
12/09/20, 158.3945, 158.7215, 154.40, 155.21, 82016718.851766
12/08/20, 157.945, 159.2065, 156.001, 158.8645, 65726059.0798352
12/07/20, 157.824, 159.038, 157.0845, 157.90, 55026319.2296315
12/04/20, 159.9105, 159.9105, 157.938, 158.129, 58272219.1841889
12/03/20, 160.273, 161.432, 159.0655, 159.3365, 57840779.1902291
12/02/20, 161.0825, 161.60, 158.663, 160.1765, 62586079.1237949
12/01/20, 159.425, 162.4475, 157.859, 161.004, 90887638.7275731
11/30/20, 160.424, 161.4195, 156.2775, 158.402, 81278318.8621035
11/27/20, 160.563, 160.8095, 159.5025, 159.767, 47857339.3299972
11/25/20, 157.0935, 159.90, 157.013, 159.2535, 75808058.9386872
11/24/20, 155.025, 156.7125, 154.3129, 155.903, 72042038.9914115
11/23/20, 155.835, 156.9873, 153.273, 154.9195, 94177738.6815117
11/20/20, 155.851, 156.6445, 154.9023, 154.97, 67602759.0535614
11/19/20, 155.2655, 156.25, 154.046, 155.851, 60205399.1571244
11/18/20, 156.70, 157.00, 155.255, 155.273, 58336719.1832859
11/17/20, 159.1773, 159.4625, 156.763, 156.783, 68894699.0354742
